,0
0,obsolete
1,diminutive
2,genitive plural
3,canonical
4,second-person singular imperative perfective
5,second-person singular imperative imperfective
6,short neuter singular
7,accusative
8,genitive
9,present imperfective adverbial participle
10,short feminine singular
11,genitive singular
12,nominative/accusative plural
13,neuter singular past indicative imperfective
14,genitive/accusative plural
15,genitive/accusative singular
16,short masculine singular past indicative perfective
17,short masculine singular
18,nominative neuter singular
19,accusative neuter singular
20,nominative plural
21,inanimate accusative plural
22,nominative feminine
23,inanimate accusative feminine
24,accusative plural
25,passive
26,genitive/prepositional
27,animate accusative
28,dative/prepositional
29,prepositional singular
30,dative plural
31,prepositional plural
32,past passive perfective participle
33,accusative/genitive singular
34,comparative degree
35,present adverbial imperfective participle
36,animate accusative singular
37,locative singular
38,present indicative
39,first/second/third-person singular/plural present indicative imperfective
40,genitive masculine/neuter singular
41,animate accusative masculine singular
42,accusative feminine singular
43,instrumental singular
44,third-person singular present indicative imperfective
45,accusative singular
46,genitive/dative/prepositional singular
47,instrumental plural
48,second-person plural present indicative imperfective
49,second-person plural imperative imperfective
50,short past adverbial perfective participle
51,dative/prepositional singular
52,masculine singular past indicative imperfective
53,genitive/dative/instrumental/prepositional singular
54,nominative/accusative neuter singular
55,genitive/accusative
56,dative
57,genitive/accusative/prepositional
58,present active imperfective participle
59,nominative/accusative singular neuter
60,nominative feminine plural
61,inanimate accusative feminine plural
62,short plural
63,short masculine passive past participle
64,feminine singular
65,genitive/dative/instrumental/prepositional feminine singular
66,nominative feminine singular
67,endearing diminutive
68,endearing
69,animate accusative plural
70,masculine singular past indicative perfective
71,superlative degree
72,masculine/neuter prepositional singular
73,second-person plural imperative perfective
74,second-person plural future indicative perfective
75,masculine/neuter singular genitive
76,masculine singular & mainly animate accusative
77,first-person singular present indicative imperfective
78,accusative/genitive
79,instrumental masculine/neuter singular
80,third-person plural future indicative perfective
81,instrumental
82,prepositional
83,plural
84,past perfective adverbial participle
85,short past perfective adverbial participle
86,masculine/neuter instrumental singular
87,past active participle
88,genitive/prepositional plural
89,"alternative, old-fashion spelling"
90,plural past indicative perfective
91,first-person plural present indicative imperfective
92,dative singular
93,feminine singular past indicative perfective
94,neuter singular nominative/accusative
95,first-person singular future indicative perfective
96,third-person plural present indicative imperfective
97,second-person singular present indicative imperfective
98,second-person singular future indicative perfective
99,third-person singular future indicative perfective
100,first-person plural future indicative perfective
101,past adverbial imperfective participle
102,past adverbial perfective participle
103,short past adverbial imperfective participle
104,past active imperfective participle
105,past active perfective participle
106,past passive imperfective participle
107,present passive imperfective participle
108,masculine singular animate accusative
109,masculine/neuter singular prepositional
110,masculine/neuter singular dative
111,masculine/neuter singular instrumental
112,plural dative
113,feminine singular nominative
114,feminine singular genitive/dative/instrumental/prepositional
115,feminine singular accusative
116,imperfective
117,archaic
118,plural genitive/prepositional
119,plural animate accusative
120,plural nominative
121,plural inanimate accusative
122,plural instrumental
123,masculine/neuter genitive singular
